# 오링킹 확정 블록리스트 (FN-013 M2 수동 보정 루프 — CPA 검수 1차, 2026-07-28)
# otrCpr 이름-only 링킹의 동명 충돌 확정분: (source,target) 쌍의 otrCprInvstmntSttus 엣지를 차단.
# 사유 유형: 동명비상장(원문은 비상장 자회사, 동명 상장사에 오링킹) · 수치오류 · 구사명충돌
# 검수 근거: review_otrcpr_50plus_crosscheck.csv 54건 CPA 판정 (TRUE 39 / FALSE 15)
source_ticker,target_ticker,reason
003160,092200,동명비상장 — 디아이 자회사 ㈜디아이씨는 비상장(자동차부품 상장사 아님)
000670,033170,수치오류 — 시그네틱스 지분율 710651% 오파싱(관계 자체는 ftc 계열로 별도 유지)
010040,093370,동명비상장 — 한국내화 출자 (주)후성은 비상장(상장 후성 100% 불가)
015260,105840,동명비상장 — 에이엔피 자회사 (주)우진은 비상장(상장 우진 100% 불가)
017670,086790,수치오류 — SKT가 하나금융지주 62.5% 보유 불가(파싱/원문 오류)
017860,352820,동명비상장 — DS단석 자회사 하이브 주식회사는 비상장(엔터 하이브 아님)
023410,025900,동명비상장 — 유진기업 자회사 동화기업(주)는 비상장(상장 동화기업 100% 불가)
035810,340570,동명비상장 — 이지홀딩스 자회사 ㈜티앤엘은 비상장(상장 티앤엘 100% 불가)
103140,137400,동명비상장 — 풍산 자회사 ㈜피엔티는 비상장(2차전지 장비 피엔티 아님)
122990,110990,동명비상장 — 와이솔 출자 (주)디아이티는 비상장(장비 상장사 디아이티 아님)
127120,290650,동명비상장 — 제이에스링크 자회사 ㈜엘앤씨바이오는 비상장(상장사 100% 불가)
214330,298060,구사명충돌 — 금호에이치티의 풍전약품(주)는 비상장 자회사였음. 298060은 당시 에스씨엠생명과학(인수 후 개명)
217820,069510,동명비상장 — 원익피앤이 자회사 에스텍은 비상장(상장 에스텍 100% 불가)
262260,097780,동명비상장 — 에이프로 자회사 ㈜에코볼트는 비상장(상장사 100% 불가)
272290,090150,동명비상장 — 이녹스첨단소재 자회사 ㈜아이윈은 비상장(상장 아이윈 100% 불가)
