# otrCpr 50%+ 엣지 중 상대 hyslrSttus에 출자사 부재 — CPA 검수용 (FN-013). 오탐 다수: hyslrSttus 수집 갭이면 정상 엣지
source_ticker,target_ticker,ratio,원문 detail,최근 연도
000100,424870,76.9,(주)이뮨온시아 76.9%,2024
000670,033170,710651.0,시그네틱스㈜ 710651.0%,2024
002100,001550,55.0,(주)조비 55.0%,2024
003160,092200,66.7,㈜디아이씨 66.7%,2024
003380,028670,54.72,팬오션(주) 54.72%,2024
003380,036580,56.34,(주)팜스코 56.34%,2024
003380,136480,57.37,(주)하림 57.37%,2024
003380,136490,50.0,(주)선진 50.0%,2024
005250,006280,50.1,녹십자 50.1%,2024
006840,089590,51.06,(주)제주항공 51.06%,2024
006840,161000,62.85,애경케미칼(주) 62.85%,2024
007460,003060,56.9,주식회사 에이프로젠바이오로직스 56.9%,2024
008870,004450,51.34,삼화왕관(주) 51.34%,2024
009200,009580,66.97,무림P&P 66.97%,2024
010040,093370,100.0,(주)후성 100.0%,2022
012450,489790,100.0,한화비전㈜ 100.0%,2023
015260,105840,100.0,(주)우진 100.0%,2024
017670,086790,62.5,하나금융지주 62.5%,2022
017860,352820,75.0,하이브 주식회사 75.0%,2024
017940,000680,87.72,㈜LS네트웍스 87.72%,2024
023410,025900,100.0,동화기업(주) 100.0%,2024
024880,217590,68.37,㈜티엠씨 68.37%,2024
032820,041520,53.3,(주)이엘씨 53.3%,2024
032830,029780,72.0,삼성카드 72.0%,2024
033780,003520,52.45,영진약품㈜ 52.45%,2024
034950,092130,67.8,(주)이크레더블 67.8%,2024
035760,253450,54.4,스튜디오드래곤㈜ 54.0%,2024
035810,027710,65.06,(주)팜스토리 65.06%,2021
035810,340570,100.0,㈜티앤엘 100.0%,2024
038460,125020,54.99,티씨머티리얼즈 54.99%,2024
038540,001290,57.0,상상인증권 57.0%,2024
042370,488900,100.0,(주)비츠로넥스텍 81.82%,2024
054620,391710,54.4,코닉오토메이션㈜ 54.4%,2021
055550,006220,75.3,제주은행 75.3%,2024
056190,036540,55.2,㈜SFA반도체 55.2%,2024
068270,068760,54.93,셀트리온제약 54.93%,2024
078930,001250,50.7,GS글로벌 50.7%,2024
081000,271940,59.6,일진하이솔루스㈜ 59.6%,2024
092230,025000,50.8,KPX케미칼㈜ 50.8%,2024
103140,137400,60.0,㈜피엔티 60.0%,2024
108860,208370,52.05,"주식회사
셀바스헬스케어 52.05%",2022
109610,365330,64.87,에스와이스틸텍(주) 64.87%,2022
118990,079900,100.0,전진건설로봇(주) 78.81%,2024
122990,110990,84.0,(주)디아이티 84.0%,2024
126600,105330,56.75,(주)케이엔더블유 56.75%,2024
127120,290650,100.0,㈜엘앤씨바이오 100.0%,2023
151860,003620,56.01,KG모빌리티㈜ 56.01%,2024
214330,298060,100.0,풍전약품(주) 100.0%,2024
217820,069510,100.0,에스텍 100.0%,2021
256840,219750,79.99,(주)한국비티비 79.99%,2024
262260,097780,100.0,㈜에코볼트 100.0%,2023
272290,090150,100.0,㈜아이윈 100.0%,2022
293490,061090,54.53,㈜세나테크놀로지 54.53%,2023
362320,489460,64.66,(주)바이오비쥬 64.66%,2024
