rank,corp_name,ticker,market_cap,group_name,sector,corp_code
1,삼성전자,005930,12627962,삼성,반도체,
2,SK하이닉스,000660,8039283,SK,반도체,
3,현대차,005380,1101597,현대자동차,자동차,
4,LG에너지솔루션,373220,978120,LG,2차전지,
5,SK스퀘어,402340,899956,SK,반도체,
6,삼성바이오로직스,207940,741118,삼성,바이오,
7,한화에어로스페이스,012450,733747,한화,중공업·방산,
8,두산에너빌리티,034020,695009,두산,중공업·방산,
9,기아,000270,621537,현대자동차,자동차,
10,KB금융,105560,605136,KB금융,금융,
11,HD현대중공업,329180,539501,HD현대,중공업·방산,
12,삼성전기,009150,507170,삼성,반도체,
13,삼성생명,032830,507000,삼성,금융,
14,삼성물산,028260,488939,삼성,건설,
15,신한지주,055550,472756,신한,금융,
16,셀트리온,068270,460522,셀트리온,바이오,
17,삼성SDI,006400,413404,삼성,2차전지,
18,한화오션,042660,398337,한화,중공업·방산,
19,HD현대일렉트릭,267260,391832,HD현대,중공업·방산,
20,미래에셋증권,006800,390943,미래에셋,금융,
21,현대모비스,012330,387428,현대자동차,자동차,
22,고려아연,010130,350457,영풍,에너지,
23,하나금융지주,086790,343732,하나,금융,
24,NAVER,035420,339586,네이버,플랫폼,
25,POSCO홀딩스,005490,305080,포스코,에너지,
26,HD한국조선해양,009540,296893,HD현대,건설,
27,한국전력,015760,294662,한국전력공사,에너지,
28,LS ELECTRIC,010120,279750,LS,중공업·방산,
29,효성중공업,298040,277872,효성,중공업·방산,
30,한미반도체,042700,273069,,반도체,
31,SK,034730,267172,SK,반도체,
32,우리금융지주,316140,262065,우리금융,금융,
33,삼성중공업,010140,255640,삼성,중공업·방산,
34,LG화학,051910,254132,LG,2차전지,
35,한화시스템,272210,244651,한화,중공업·방산,
36,현대로템,064350,235747,현대자동차,중공업·방산,
37,카카오,035720,221500,카카오,플랫폼,
38,SK이노베이션,096770,218754,SK,에너지,
39,두산,000150,215378,두산,중공업·방산,
40,삼성화재,000810,214308,삼성,금융,
41,SK텔레콤,017670,211139,SK,통신,
42,포스코퓨처엠,003670,208579,포스코,2차전지,
43,HD현대,267250,204987,HD현대,에너지,
44,LG전자,066570,202305,LG,디스플레이,
45,HMM,011200,199023,HMM,기타,
46,메리츠금융지주,138040,198914,메리츠금융,금융,
47,현대건설,000720,197100,현대자동차,건설,
48,KT&G,033780,196441,KT&G,기타,
49,LIG디펜스앤에어로스페이스,453860,192720,LIG,중공업·방산,
50,한국항공우주,047810,183643,한국항공우주산업,중공업·방산,
