ksic_code,sector_id,ko
011,etc,기타
01123,etc,기타
03111,etc,기타
101,food,식음료
1012,food,식음료
10121,food,식음료
102,food,식음료
10211,food,식음료
103,food,식음료
1030,food,식음료
104,food,식음료
105,food,식음료
10520,food,식음료
106,food,식음료
107,food,식음료
108,food,식음료
10897,food,식음료
109,food,식음료
11111,food,식음료
11112,food,식음료
11121,food,식음료
11122,food,식음료
11209,food,식음료
12000,etc,기타
13101,textile,섬유·의류
132,textile,섬유·의류
13213,textile,섬유·의류
13219,textile,섬유·의류
13225,textile,섬유·의류
13402,textile,섬유·의류
139,textile,섬유·의류
13992,textile,섬유·의류
141,textile,섬유·의류
14111,textile,섬유·의류
14112,textile,섬유·의류
14120,textile,섬유·의류
1419,textile,섬유·의류
14199,textile,섬유·의류
14300,textile,섬유·의류
144,textile,섬유·의류
151,textile,섬유·의류
15110,textile,섬유·의류
15121,textile,섬유·의류
15129,textile,섬유·의류
152,textile,섬유·의류
15219,textile,섬유·의류
161,materials,소재
16102,materials,소재
16211,materials,소재
16212,materials,소재
171,materials,소재
172,materials,소재
1721,materials,소재
17223,materials,소재
179,materials,소재
17902,materials,소재
1811,media,미디어
182,media,미디어
192,energy,에너지
19210,energy,에너지
19221,energy,에너지
201,chem,화학
20111,chem,화학
20119,chem,화학
20121,chem,화학
20129,chem,화학
20131,chem,화학
20132,chem,화학
20201,chem,화학
20202,chem,화학
20203,chem,화학
203,chem,화학
2031,chem,화학
20312,chem,화학
2032,chem,화학
204,chem,화학
20411,chem,화학
20413,chem,화학
20421,chem,화학
20422,chem,화학
20423,cosmetics,화장품
2049,chem,화학
20491,chem,화학
20493,chem,화학
20494,chem,화학
20495,chem,화학
20499,chem,화학
205,chem,화학
2050,chem,화학
20501,chem,화학
211,pharma,제약바이오
2110,pharma,제약바이오
21100,pharma,제약바이오
212,pharma,제약바이오
2121,pharma,제약바이오
21212,pharma,제약바이오
21220,pharma,제약바이오
21230,pharma,제약바이오
213,pharma,제약바이오
2130,pharma,제약바이오
21301,pharma,제약바이오
21309,pharma,제약바이오
221,materials,소재
2219,materials,소재
222,materials,소재
2221,materials,소재
22211,materials,소재
22212,materials,소재
22213,materials,소재
22214,materials,소재
2222,materials,소재
22222,materials,소재
22231,materials,소재
22232,materials,소재
2224,materials,소재
2225,materials,소재
22259,materials,소재
2229,materials,소재
22291,materials,소재
22299,materials,소재
231,materials,소재
2311,materials,소재
2312,materials,소재
23192,materials,소재
2321,materials,소재
23222,materials,소재
233,materials,소재
23311,materials,소재
23312,materials,소재
2332,materials,소재
23322,materials,소재
23325,materials,소재
239,materials,소재
23991,materials,소재
23992,materials,소재
23993,materials,소재
23999,materials,소재
241,steel,철강·금속
2411,steel,철강·금속
24113,steel,철강·금속
24121,steel,철강·금속
24122,steel,철강·금속
24123,steel,철강·금속
2413,steel,철강·금속
24131,steel,철강·금속
24133,steel,철강·금속
2419,steel,철강·금속
24191,steel,철강·금속
24199,steel,철강·금속
242,steel,철강·금속
24212,steel,철강·금속
24213,steel,철강·금속
24219,steel,철강·금속
24221,steel,철강·금속
24222,steel,철강·금속
24229,steel,철강·금속
2429,steel,철강·금속
24290,steel,철강·금속
243,steel,철강·금속
24312,steel,철강·금속
251,steel,철강·금속
2511,steel,철강·금속
25112,steel,철강·금속
2512,steel,철강·금속
25130,steel,철강·금속
252,steel,철강·금속
25200,steel,철강·금속
259,steel,철강·금속
25912,steel,철강·금속
25923,steel,철강·금속
25924,steel,철강·금속
25929,steel,철강·금속
25934,steel,철강·금속
2599,steel,철강·금속
25991,steel,철강·금속
25993,steel,철강·금속
261,semi,반도체
2611,semi,반도체
26112,semi,반도체
2612,semi,반도체
26129,semi,반도체
262,semi,반도체
2621,semi,반도체
26211,semi,반도체
26212,semi,반도체
2622,semi,반도체
26221,semi,반도체
26224,semi,반도체
2629,semi,반도체
26291,semi,반도체
26292,semi,반도체
26293,semi,반도체
26294,semi,반도체
26299,semi,반도체
263,semi,반도체
26310,semi,반도체
26323,semi,반도체
26329,semi,반도체
264,semi,반도체
2641,semi,반도체
26410,semi,반도체
2642,semi,반도체
26421,semi,반도체
26422,semi,반도체
26429,semi,반도체
265,semi,반도체
26519,semi,반도체
26529,semi,반도체
266,semi,반도체
271,elec_parts,전기전자부품
2711,elec_parts,전기전자부품
27111,elec_parts,전기전자부품
27112,elec_parts,전기전자부품
2719,elec_parts,전기전자부품
27191,elec_parts,전기전자부품
27192,elec_parts,전기전자부품
27194,elec_parts,전기전자부품
27199,elec_parts,전기전자부품
272,elec_parts,전기전자부품
27211,elec_parts,전기전자부품
27212,elec_parts,전기전자부품
27213,elec_parts,전기전자부품
27214,elec_parts,전기전자부품
27215,elec_parts,전기전자부품
27216,elec_parts,전기전자부품
27219,elec_parts,전기전자부품
273,elec_parts,전기전자부품
27309,elec_parts,전기전자부품
281,elec_parts,전기전자부품
2811,elec_parts,전기전자부품
28111,elec_parts,전기전자부품
28112,elec_parts,전기전자부품
28119,elec_parts,전기전자부품
2812,elec_parts,전기전자부품
28121,elec_parts,전기전자부품
28123,elec_parts,전기전자부품
282,elec_parts,전기전자부품
28201,elec_parts,전기전자부품
28202,elec_parts,전기전자부품
283,elec_parts,전기전자부품
2830,elec_parts,전기전자부품
28302,elec_parts,전기전자부품
284,elec_parts,전기전자부품
28410,elec_parts,전기전자부품
28422,elec_parts,전기전자부품
28511,elec_parts,전기전자부품
28519,elec_parts,전기전자부품
28520,elec_parts,전기전자부품
289,elec_parts,전기전자부품
28909,elec_parts,전기전자부품
291,machinery,기계·장비
29111,machinery,기계·장비
29119,machinery,기계·장비
29120,machinery,기계·장비
29132,machinery,기계·장비
29133,machinery,기계·장비
29141,machinery,기계·장비
29142,machinery,기계·장비
29162,machinery,기계·장비
29163,machinery,기계·장비
29169,machinery,기계·장비
29171,machinery,기계·장비
29172,machinery,기계·장비
29175,machinery,기계·장비
29176,machinery,기계·장비
29192,machinery,기계·장비
29193,machinery,기계·장비
292,machinery,기계·장비
29210,machinery,기계·장비
29221,machinery,기계·장비
29222,machinery,기계·장비
29223,machinery,기계·장비
29229,machinery,기계·장비
29241,machinery,기계·장비
29242,machinery,기계·장비
2927,machinery,기계·장비
29271,machinery,기계·장비
29272,machinery,기계·장비
2928,machinery,기계·장비
29280,machinery,기계·장비
29293,machinery,기계·장비
29299,machinery,기계·장비
301,auto,자동차
30121,auto,자동차
302,auto,자동차
303,auto,자동차
30310,auto,자동차
30320,auto,자동차
3033,auto,자동차
30331,auto,자동차
30391,auto,자동차
30399,auto,자동차
304,auto,자동차
311,indust,중공업·방산
3111,indust,중공업·방산
31113,indust,중공업·방산
31114,indust,중공업·방산
313,indust,중공업·방산
3131,indust,중공업·방산
31311,indust,중공업·방산
31321,indust,중공업·방산
31322,indust,중공업·방산
319,indust,중공업·방산
31910,indust,중공업·방산
31991,indust,중공업·방산
320,etc,기타
32021,etc,기타
32029,etc,기타
32091,etc,기타
32099,etc,기타
331,etc,기타
33201,etc,기타
3330,etc,기타
339,etc,기타
33999,etc,기타
351,energy,에너지
35120,energy,에너지
352,energy,에너지
35200,energy,에너지
35300,energy,에너지
38220,etc,기타
38230,etc,기타
383,etc,기타
411,cons,건설
4111,cons,건설
41112,cons,건설
4112,cons,건설
41121,cons,건설
412,cons,건설
41221,cons,건설
41225,cons,건설
421,cons,건설
422,cons,건설
423,cons,건설
42311,cons,건설
424,cons,건설
451,auto,자동차
45120,auto,자동차
452,auto,자동차
4521,auto,자동차
461,retail,유통
4610,retail,유통
46103,retail,유통
462,retail,유통
46201,retail,유통
463,retail,유통
46313,retail,유통
4632,retail,유통
46331,retail,유통
464,retail,유통
46413,retail,유통
46414,retail,유통
46419,retail,유통
46431,retail,유통
46443,retail,유통
46452,retail,유통
46465,retail,유통
465,retail,유통
46510,retail,유통
46521,retail,유통
46522,retail,유통
46539,retail,유통
4659,retail,유통
466,retail,유통
467,retail,유통
46712,retail,유통
46713,retail,유통
46739,retail,유통
46799,retail,유통
468,retail,유통
46800,retail,유통
471,retail,유통
47111,retail,유통
