ticker,corp_code,corp_name,cluster,tier
000150,00117212,두산,중공업방산,
000270,00106641,기아,자동차,
000660,00164779,SK하이닉스,반도체,1
000720,00164478,현대건설,건설,1
000810,00139214,삼성화재,금융,scope-out
003670,00155276,포스코퓨처엠,2차전지화학,
005380,00164742,현대차,자동차,1
005490,00155319,POSCO홀딩스,에너지소재,scope-out
005930,00126380,삼성전자,반도체,0
006400,00126362,삼성SDI,2차전지화학,
006800,00111722,미래에셋증권,금융,scope-out
009150,00126371,삼성전기,반도체,
009540,00164830,HD한국조선해양,건설,
010120,00105855,LS ELECTRIC,중공업방산,
010130,00102858,고려아연,에너지소재,1
010140,00126478,삼성중공업,중공업방산,
011200,00164645,HMM,해운,1
012330,00164788,현대모비스,자동차,
012450,00126566,한화에어로스페이스,중공업방산,1
015760,00159193,한국전력,유틸리티,1
017670,00159023,SK텔레콤,통신,1
028260,00149655,삼성물산,건설,
032830,00126256,삼성생명,금융,scope-out
033780,00244455,KT&G,소비재,1
034020,00159616,두산에너빌리티,중공업방산,
034730,00181712,SK,반도체,scope-out
035420,00266961,NAVER,플랫폼,1
035720,00258801,카카오,플랫폼,
042660,00111704,한화오션,중공업방산,
042700,00161383,한미반도체,반도체,
051910,00356361,LG화학,2차전지화학,1
055550,00382199,신한지주,금융,scope-out
064350,00302926,현대로템,중공업방산,
068270,00413046,셀트리온,바이오,1
079550,00503668,LIG넥스원,중공업방산,
086790,00547583,하나금융지주,금융,scope-out
096770,00631518,SK이노베이션,에너지소재,
105560,00688996,KB금융,금융,scope-out
138040,00860332,메리츠금융지주,금융,scope-out
207940,00877059,삼성바이오로직스,바이오,
267250,01205709,HD현대,에너지소재,scope-out
267260,01205851,HD현대일렉트릭,중공업방산,
272210,00339391,한화시스템,중공업방산,
298040,01316245,효성중공업,중공업방산,
316140,01350869,우리금융지주,금융,scope-out
329180,01390344,HD현대중공업,중공업방산,
373220,01515323,LG에너지솔루션,2차전지화학,
402340,01596425,SK스퀘어,반도체,scope-out
0001A0,01516933,덕양에너젠,,
000250,00128546,삼천당제약,,
000440,00149770,중앙에너비스,,
0004V0,00924931,엔비알모션,,
0004Y0,01884065,디비금융제14호스팩,,
0007C0,01829819,아크릴,,
0007J0,01869710,인벤테라,,
0008Z0,01294110,에스엔시스,,
0009K0,01781999,에임드바이오,,
001000,00135999,신라섬유,,
0010F0,00871587,보원케미칼,,
0010V0,00185301,제이피아이헬스케어,,
0011A0,01554508,액스비스,,
0011T0,01279698,채비,,
0013V0,01370322,삼진식품,,
001540,00139205,안국약품,,
0015G0,00677486,그린광학,,
0015N0,01381805,아로마티카,,
0015S0,01817920,페스카로,,
0017J0,01596221,세미티에스,,
001810,00121507,무림SP,,
001840,00145668,이화공영,,
002230,00155638,피에스텍,,
002290,00127936,삼일기업공사,,
002680,00140566,한탑,,
002800,00136448,신신제약,,
003100,00131896,선광,,
003310,00112457,대주산업,,
003380,00148364,하림지주,,
0037T0,01902990,KB제32호스팩,,
003800,00140052,에이스침대,,
0039P0,01379129,매드업,,
0041B0,01910324,교보18호스팩,,
0041J0,01906552,엘에스스팩1호,,
0041L0,01906598,하나35호스팩,,
0044K0,01910759,삼성스팩10호,,
004590,00156442,한국가구,,
004650,00123523,창해에탄올,,
004780,00109587,대륙제관,,
005160,00172680,동국산업,,
005290,00118804,동진쎄미켐,,
0054V0,01931585,엔에이치스팩32호,,
005670,00165103,푸드웰,,
005710,00111874,대원산업,,
005860,00162911,한일사료,,
005990,00120924,매일홀딩스,,
006050,00104537,국영지앤엠,,
006140,00155735,피제이전자,,
006620,00114686,동구바이오제약,,
006730,00130383,서부T&D,,
0068Y0,01933981,비엔케이제3호스팩,,
006910,00267881,보성파워텍,,
006920,00163318,모헨즈,,
0071M0,01935183,삼성스팩11호,,
0072Z0,01934935,KB제33호스팩,,
007330,00124805,푸른저축은행,,
007370,00150536,진양제약,,
007390,00117276,네이처셀,,
007530,00140858,와이엠,,
007680,00111838,대원,,
007720,00104810,소노스퀘어,,
007770,00267979,한일화학,,
007820,00137915,엠엑스로보틱스,,
008290,00144021,원풍물산,,
0082N0,01782183,카나프테라퓨틱스,,
008370,00144012,원풍,,
