ticker,fiscal_year,rcept_no,report_nm,사유,bytes
013030,2023,20240325000794,[첨부정정]사업보고서 (2023.12),본표없음,409687
017480,2022,20230309000248,[첨부정정]사업보고서 (2022.12),본표없음,366502
019010,2023,20240411001085,[첨부정정]사업보고서 (2023.12),본표없음,491735
021040,2021,20220329000756,[첨부정정]사업보고서 (2021.12),본표없음,704299
023160,2025,20260326001150,[첨부정정]사업보고서 (2025.12),파일없음,0
026150,2022,20230324000988,[첨부정정]사업보고서 (2022.12),본표없음,733596
033500,2025,20260319000704,[첨부정정]사업보고서 (2025.12),본표없음,607250
048530,2021,20231215000367,[첨부정정]사업보고서 (2021.12),파일없음,0
048530,2022,20231215000372,[첨부정정]사업보고서 (2022.12),파일없음,0
084730,2025,20260323001094,[첨부정정]사업보고서 (2025.12),본표없음,621787
094840,2022,20230315000868,[첨부정정]사업보고서 (2022.12),파일없음,0
146320,2022,20230322001069,[첨부정정]사업보고서 (2022.12),파일없음,0
146320,2023,20240318000892,[첨부정정]사업보고서 (2023.12),파일없음,0
175140,2022,20230322001181,[첨부정정]사업보고서 (2022.12),파일없음,0
201490,2023,20241022000283,[첨부정정]사업보고서 (2023.12),파일없음,0
214370,2021,20220321001373,[첨부정정]사업보고서 (2021.12),본표없음,476182
251370,2025,20260324000559,[첨부정정]사업보고서 (2025.12),본표없음,720653
277410,2023,20240319000174,[첨부정정]사업보고서 (2023.12),파일없음,0
278280,2025,20260316001151,[첨부정정]사업보고서 (2025.12),본표없음,723892
288180,2021,20220325000271,사업보고서 (2021.12),본표없음,578282
288180,2022,20230317000395,사업보고서 (2022.12),본표없음,596140
288180,2025,20260330000734,[첨부정정]사업보고서 (2025.12),파일없음,0
303030,2021,20220316001263,[첨부정정]사업보고서 (2021.12),파일없음,0
