# 골든 클러스터 ↔ KSIC 산업코드 매핑 (fs_parse --scope sector-golden 의 정본)
# 이 CSV만 고치면 확장 범위가 바뀐다. 코드 수정 불요.
#   rule=prefix  : industry_code 가 value 로 시작하면 포함 (소분류 3자리 권장)
#   rule=ticker  : 그 종목을 명시 포함 (코드가 3자리에서 끊겨 판별 불가한 경우)
#   rule=exclude : 그 종목을 명시 제외
# 전역 필터: is_financial=1 · is_reit=1 은 항상 제외 (금융 클러스터에 골든이 없다 — corps.csv tier=scope-out)
# 산업코드 출처: data/industry_snapshot.csv (company_master.json 2026-07-28 스냅샷)
cluster,rule,value,note
반도체,prefix,261,반도체 제조업 (SK하이닉스 2612)
반도체,prefix,264,통신 및 방송 장비 제조업 (삼성전자 264)
철강,prefix,241,1차 철강 제조업 (현대제철 2411)
2차전지화학,prefix,201,기초 화학물질 제조업 (LG화학 20111)
바이오,prefix,211,기초 의약물질 제조업 (셀트리온 21100)
식품,prefix,108,기타 식품 제조업 (CJ제일제당 108)
에너지소재,prefix,242,1차 비철금속 제조업 (고려아연 24213)
건설,prefix,412,토목 건설업 (현대건설 41221)
플랫폼,prefix,631,포털·인터넷 정보매개 (NAVER 63120)
유통,prefix,471,종합 소매업 (이마트 471)
통신,prefix,612,전기 통신업 (SK텔레콤 61220)
중공업방산,prefix,313,항공기·우주선 및 부품 (한화에어로 31321)
해운,prefix,501,해상 운송업 (HMM 50112)
항공,prefix,511,항공 여객 운송업 (대한항공 511)
엔터,prefix,592,오디오물 출판·원판 녹음 (하이브 592)
정유,prefix,192,석유 정제품 제조업 (S-Oil 19210)
유틸리티,prefix,351,전기업 (한국전력 35120)
소비재,prefix,120,담배 제조업 (KT&G 12000)
# 자동차 = 완성차 소분류 301만. 부품사는 소분류 303(88+16사)으로 이미 갈려 있어 별도 제외 규칙 불요.
# 현대차 골든은 완성차+할부금융 하이브리드라 부품사에 그대로 쓸 수 없다 — 부품 골든은 별도 대상(리더 결정 2026-08-11).
자동차,prefix,301,자동차용 엔진 및 자동차 제조업 (현대차 30121)
# 반도체장비 = 특수 목적용 기계 소분류 292 (원익IPS 292). KOSDAQ 첫 골든 — 기존 반도체 골든의 하류 밸류체인.
반도체장비,prefix,292,특수 목적용 기계 제조업 (원익IPS 292)
# 게임 = 세분류 5821*(게임 소프트웨어) 26사만. 소분류 582는 시스템·응용 SW 100사를 함께 삼킨다.
# ⚠️ industry_name 은 582 하위 전부가 '소프트웨어 개발 및 공급업'으로 같다 — **코드만이 판별 근거**.
게임,prefix,5821,게임 소프트웨어 개발 및 공급업 (크래프톤 5821)
# 코드가 '582' 3자리에서 끊겨 게임/비게임이 갈리지 않는 62사 중, 게임사만 명시 포함.
게임,ticker,036570,엔씨소프트
게임,ticker,225570,넥슨게임즈
게임,ticker,042420,네오위즈홀딩스
게임,ticker,063080,컴투스홀딩스
게임,ticker,217270,넵튠
게임,ticker,023770,플레이위드
게임,ticker,052770,아이톡시
게임,ticker,208640,썸에이지
게임,ticker,331520,밸로프
# 판정 보류(넣지 않음) — 게임 여부가 사명으로 확정되지 않는다: 205500 넥써쓰 · 377030 비트맥스 ·
# 418620 E8 · 122830 원포유. 게임으로 판단되면 위 형식으로 ticker 행을 추가할 것.
